epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,test_accuracy,test_auc,lr
1,0.2833,0.1209,0.9591,0.9948,0.8557,0.9926,0.7276,0.9201,0.0001
2,0.2149,0.1429,0.9476,1.0,0.796,0.9952,0.7003,0.9194,0.0001
3,0.1759,0.0917,0.9706,0.9983,0.8905,0.997,0.7676,0.9408,0.0001
4,0.1602,0.1739,0.9234,1.0,0.7015,0.9951,0.7147,0.9249,0.0001
5,0.1716,0.1951,0.9119,1.0,0.6567,0.9968,0.6987,0.9342,0.0001
6,0.1663,0.0736,0.9732,0.9948,0.9104,0.996,0.7788,0.9169,0.0001
7,0.1447,0.1721,0.9285,1.0,0.7214,0.9943,0.7003,0.8682,5e-05
8,0.1549,0.0908,0.9681,0.9983,0.8806,0.9965,0.7596,0.9242,5e-05
9,0.1482,0.1696,0.9221,0.9983,0.7015,0.9958,0.7003,0.9062,5e-05
10,0.1499,0.1676,0.9349,1.0,0.7463,0.9925,0.7147,0.8524,5e-05
11,0.154,0.1042,0.9719,1.0,0.8905,0.9949,0.7404,0.891,2.5e-05
12,0.1155,0.1412,0.9438,1.0,0.7811,0.9937,0.7356,0.852,2.5e-05
13,0.1367,0.1857,0.931,1.0,0.7313,0.9858,0.7228,0.7995,2.5e-05
14,0.1449,0.1433,0.9489,1.0,0.801,0.9927,0.7308,0.86,2.5e-05
15,0.1222,0.1588,0.94,1.0,0.7662,0.9898,0.7292,0.8302,1.25e-05
16,0.1288,0.1512,0.9425,1.0,0.7761,0.9898,0.7388,0.8282,1.25e-05
17,0.1197,0.178,0.9361,1.0,0.7512,0.9867,0.7228,0.8069,1.25e-05
18,0.145,0.1568,0.94,1.0,0.7662,0.9894,0.742,0.8357,1.25e-05
19,0.11,0.1321,0.9515,1.0,0.8109,0.9919,0.742,0.834,6.25e-06
20,0.0986,0.1495,0.9438,1.0,0.7811,0.9893,0.734,0.8181,6.25e-06
21,0.1453,0.1825,0.9361,1.0,0.7512,0.9909,0.726,0.8549,6.25e-06
22,0.1369,0.1915,0.9336,1.0,0.7413,0.9902,0.7196,0.8458,6.25e-06
23,0.1399,0.1512,0.9451,1.0,0.7861,0.9916,0.7356,0.8436,3.125e-06
24,0.119,0.1623,0.9438,1.0,0.7811,0.9914,0.726,0.8463,3.125e-06
25,0.1189,0.1615,0.9438,1.0,0.7811,0.9907,0.7244,0.8288,3.125e-06
26,0.1179,0.1522,0.9464,1.0,0.791,0.9917,0.726,0.8381,3.125e-06
27,0.1095,0.1161,0.9579,1.0,0.8358,0.993,0.7436,0.841,1.5625e-06
28,0.1252,0.1643,0.9413,1.0,0.7711,0.9906,0.7292,0.8355,1.5625e-06
29,0.1281,0.157,0.9438,1.0,0.7811,0.9899,0.7308,0.8225,1.5625e-06
30,0.1379,0.1487,0.9489,1.0,0.801,0.9909,0.7324,0.8296,1.5625e-06
31,0.1526,0.178,0.9387,1.0,0.7612,0.9909,0.7228,0.8391,7.8125e-07
32,0.1415,0.1574,0.9438,1.0,0.7811,0.9909,0.7324,0.8365,7.8125e-07
33,0.1193,0.15,0.9489,1.0,0.801,0.9903,0.734,0.8275,7.8125e-07
34,0.1079,0.1402,0.9502,1.0,0.806,0.9923,0.7372,0.8492,7.8125e-07
35,0.1268,0.1357,0.9515,1.0,0.8109,0.9915,0.7404,0.8362,3.90625e-07
36,0.1048,0.135,0.9502,1.0,0.806,0.9891,0.7404,0.8133,3.90625e-07
37,0.1192,0.1823,0.9387,1.0,0.7612,0.9882,0.7228,0.8181,3.90625e-07
38,0.1192,0.1439,0.9489,1.0,0.801,0.9909,0.7356,0.8339,3.90625e-07
39,0.1429,0.1474,0.9489,1.0,0.801,0.9898,0.734,0.8233,1.953125e-07
40,0.1005,0.1606,0.9451,1.0,0.7861,0.9907,0.7292,0.8348,1.953125e-07
41,0.1309,0.1513,0.9464,1.0,0.791,0.9904,0.734,0.8348,1.953125e-07
42,0.108,0.1347,0.9515,1.0,0.8109,0.9928,0.7404,0.8548,1.953125e-07
43,0.109,0.1614,0.9451,1.0,0.7861,0.9884,0.7292,0.8177,9.765625e-08
44,0.1289,0.1494,0.9489,1.0,0.801,0.9898,0.7356,0.8279,9.765625e-08
45,0.1023,0.1545,0.9464,1.0,0.791,0.9893,0.7324,0.8204,9.765625e-08
46,0.1263,0.1535,0.9464,1.0,0.791,0.9894,0.734,0.8254,9.765625e-08
47,0.1058,0.1764,0.9425,1.0,0.7761,0.9869,0.7244,0.8063,4.8828125e-08
48,0.1204,0.1683,0.9425,1.0,0.7761,0.9906,0.726,0.838,4.8828125e-08
49,0.1139,0.1359,0.9502,1.0,0.806,0.9915,0.742,0.8348,4.8828125e-08
50,0.0999,0.1335,0.9502,1.0,0.806,0.9894,0.7436,0.8141,4.8828125e-08
51,0.1399,0.1807,0.94,1.0,0.7662,0.9907,0.7244,0.8446,2.44140625e-08
52,0.132,0.1621,0.9451,1.0,0.7861,0.9887,0.7292,0.8223,2.44140625e-08
53,0.1087,0.1341,0.9489,1.0,0.801,0.9869,0.7436,0.7983,2.44140625e-08
54,0.1076,0.1881,0.9361,1.0,0.7512,0.9859,0.7228,0.8001,2.44140625e-08
55,0.1069,0.1623,0.9464,1.0,0.791,0.9859,0.7308,0.7968,1.220703125e-08
56,0.1239,0.1346,0.9502,1.0,0.806,0.9903,0.742,0.824,1.220703125e-08
57,0.11,0.1155,0.9566,1.0,0.8308,0.9927,0.7484,0.8397,1.220703125e-08
58,0.1139,0.1299,0.9527,1.0,0.8159,0.9919,0.7404,0.8358,1.220703125e-08
59,0.1355,0.1571,0.9464,1.0,0.791,0.9883,0.734,0.8125,1.220703125e-08
60,0.1201,0.1472,0.9489,1.0,0.801,0.9908,0.7372,0.8355,1.220703125e-08
61,0.1177,0.1599,0.9438,1.0,0.7811,0.9926,0.7308,0.862,1.220703125e-08
62,0.1163,0.1483,0.9489,1.0,0.801,0.9897,0.734,0.8206,1.220703125e-08
63,0.1373,0.1744,0.9413,1.0,0.7711,0.9904,0.726,0.8387,1.220703125e-08
64,0.1379,0.1752,0.94,1.0,0.7662,0.9908,0.726,0.8467,1.220703125e-08
65,0.1035,0.1755,0.94,1.0,0.7662,0.9894,0.7244,0.8268,1.220703125e-08
66,0.1254,0.1633,0.9438,1.0,0.7811,0.9903,0.7276,0.8321,1.220703125e-08
67,0.1341,0.1489,0.9476,1.0,0.796,0.9917,0.734,0.8455,1.220703125e-08
68,0.1183,0.1537,0.9464,1.0,0.791,0.9894,0.734,0.8217,1.220703125e-08
69,0.1339,0.1476,0.9489,1.0,0.801,0.9908,0.734,0.8306,1.220703125e-08
70,0.1573,0.1392,0.9515,1.0,0.8109,0.9926,0.7356,0.8543,1.220703125e-08
71,0.1226,0.1641,0.9451,1.0,0.7861,0.9911,0.726,0.846,1.220703125e-08
72,0.1417,0.1476,0.9489,1.0,0.801,0.9917,0.734,0.8481,1.220703125e-08
73,0.1519,0.1448,0.9489,1.0,0.801,0.99,0.7356,0.8225,1.220703125e-08
74,0.1155,0.151,0.9476,1.0,0.796,0.9911,0.7324,0.836,1.220703125e-08
75,0.1067,0.1801,0.9413,1.0,0.7711,0.9889,0.7228,0.8238,1.220703125e-08
76,0.1292,0.1551,0.9464,1.0,0.791,0.9887,0.7324,0.8151,1.220703125e-08
77,0.1221,0.1518,0.9464,1.0,0.791,0.9909,0.7324,0.8342,1.220703125e-08
78,0.0887,0.1586,0.9451,1.0,0.7861,0.9904,0.7292,0.8324,1.220703125e-08
79,0.1082,0.1625,0.9451,1.0,0.7861,0.9905,0.7308,0.8358,1.220703125e-08
80,0.1332,0.1582,0.9464,1.0,0.791,0.989,0.7324,0.8178,1.220703125e-08
81,0.1113,0.166,0.9438,1.0,0.7811,0.9899,0.7276,0.8304,1.220703125e-08
82,0.1016,0.1638,0.9451,1.0,0.7861,0.9859,0.7276,0.7963,1.220703125e-08
83,0.1181,0.1339,0.9515,1.0,0.8109,0.9915,0.7388,0.8392,1.220703125e-08
84,0.1249,0.1472,0.9489,1.0,0.801,0.9908,0.7356,0.8331,1.220703125e-08
85,0.1035,0.1561,0.9464,1.0,0.791,0.9905,0.7292,0.8316,1.220703125e-08
86,0.1227,0.1505,0.9476,1.0,0.796,0.9921,0.734,0.8488,1.220703125e-08
87,0.1636,0.1506,0.9464,1.0,0.791,0.9922,0.7324,0.8545,1.220703125e-08
88,0.1283,0.1728,0.94,1.0,0.7662,0.9897,0.726,0.827,1.220703125e-08
89,0.1169,0.151,0.9464,1.0,0.791,0.9913,0.7324,0.8364,1.220703125e-08
90,0.107,0.1547,0.9464,1.0,0.791,0.99,0.734,0.8282,1.220703125e-08
91,0.107,0.1428,0.9502,1.0,0.806,0.9908,0.7372,0.8343,1.220703125e-08
92,0.1173,0.1437,0.9489,1.0,0.801,0.9906,0.734,0.8305,1.220703125e-08
93,0.1068,0.1278,0.9527,1.0,0.8159,0.9922,0.7452,0.8442,1.220703125e-08
94,0.126,0.1473,0.9489,1.0,0.801,0.9895,0.7356,0.8224,1.220703125e-08
95,0.1267,0.1441,0.9489,1.0,0.801,0.992,0.7356,0.8436,1.220703125e-08
96,0.1134,0.1652,0.9438,1.0,0.7811,0.9894,0.726,0.8253,1.220703125e-08
97,0.1227,0.1831,0.9374,1.0,0.7562,0.9885,0.7244,0.8221,1.220703125e-08
98,0.1246,0.156,0.9451,1.0,0.7861,0.9914,0.7324,0.8464,1.220703125e-08
99,0.1167,0.1699,0.94,1.0,0.7662,0.9895,0.726,0.8286,1.220703125e-08
100,0.1492,0.1298,0.954,1.0,0.8209,0.9932,0.742,0.8539,1.220703125e-08
